Metric,KNN,Random Forest
Accuracy,0.7947154471544715,0.8773712737127372
Precision (macro),0.7080463878494101,0.8058833864727506
Recall (macro),0.6624583524249221,0.759191355155512
F1 (macro),0.6802942875998472,0.7776473194953271
Precision (weighted),0.7912793220282488,0.8769946028670009
Recall (weighted),0.7947154471544715,0.8773712737127372
F1 (weighted),0.7919948386173727,0.8760262976575842
