case_thickness,case_diameter,water_resistance,price,case_material_encoded,band_material_encoded,case_back_encoded,bezel_material_encoded,brand_encoded,watch_style_encoded,crystal_encoded,hands_encoded,dial_markers_encoded,gender_MENS,gender_UNISEX,gender_WOMENS,movement_Automatic,movement_Eco-Drive,movement_Hand Wind,movement_Quartz
8.8,34.0,50.0,44565.0,4588.540388969551,12710.3207342233,36610.85831063517,45703.353506241336,175516.2265147719,33312.18142360189,22835.274850552232,22055.677704019003,14007.021142975074,False,False,True,True,False,False,False
9.5,38.0,50.0,174.0,4588.540388969551,4160.7543918154515,9612.898845885835,3992.1576718226197,582.8308836293678,7272.004905756978,12424.161678224687,17488.354006572878,14007.021142975074,True,False,False,False,False,False,True
11.8,45.0,100.0,444.0,4588.540388969551,13929.806903278988,9612.898845885835,3992.1576718226197,1112.5951812297733,7272.004905756978,22835.274850552232,22055.677704019003,14007.021142975074,True,False,False,False,False,False,True
7.9,30.0,30.0,209.0,4588.540388969551,4761.0073193096005,9612.898845885835,2084.065156920298,1901.8198442938265,33312.18142360189,830.2776298651087,17488.354006572878,1596.193539431102,False,False,True,False,False,False,True
11.196182331158523,40.0,50.0,84.0,4588.540388969551,4160.7543918154515,9612.898845885835,3992.1576718226197,647.1703488563436,1212.9597405119152,830.2776298651087,17488.354006572878,25695.879159776683,True,False,False,False,False,False,True
15.0,50.0,100.0,48.0,4588.540388969551,13929.806903278988,9612.898845885835,3992.1576718226197,393.9183875811972,7272.004905756978,650.7465300479291,17488.354006572878,14007.021142975074,True,False,False,False,False,False,True
11.0,42.0,100.0,415.0,4588.540388969551,9134.886424057448,9612.898845885835,14001.688624595468,5180.30127926899,7272.004905756978,22835.274850552232,3866.5901038315087,25695.879159776683,True,False,False,False,False,False,True
7.4,34.0,94.38815128863104,55660.0,75924.78738870472,21219.485836445107,9612.898845885835,50472.40512628032,52848.26373364288,33312.18142360189,22835.274850552232,35575.37561341571,23209.188624595467,False,False,True,False,False,True,False
10.8,43.0,30.0,1256.0,4588.540388969551,2794.330423300971,13958.984296213206,3992.1576718226197,5553.173985976267,33312.18142360189,22835.274850552232,17488.354006572878,19342.421628857843,True,False,False,True,False,False,False
13.0,43.0,200.0,1594.99,4588.540388969551,4160.7543918154515,9612.898845885835,8488.011067961166,2145.960015329586,33312.18142360189,22835.274850552232,3866.5901038315087,3301.702453662842,True,False,False,True,False,False,False
9.0,29.0,30.0,1450.0,4588.540388969551,4160.7543918154515,13958.984296213206,3992.1576718226197,1925.8662421473443,33312.18142360189,22835.274850552232,17488.354006572878,19342.421628857843,False,False,True,True,False,False,False
11.0,40.0,50.0,649.99,4588.540388969551,4160.7543918154515,86374.56248086809,3992.1576718226197,1634.490236386661,1212.9597405119152,22835.274850552232,17488.354006572878,14007.021142975074,True,False,False,True,False,False,False
11.196182331158523,26.0,100.0,4715.0,4588.540388969551,4160.7543918154515,9612.898845885835,3992.1576718226197,4610.7403607678725,33312.18142360189,22835.274850552232,11455.764588172991,20971.01945073218,False,False,True,True,False,False,False
11.8,40.0,30.0,155.0,4588.540388969551,9134.886424057448,9612.898845885835,3992.1576718226197,1578.1918023802066,1212.9597405119152,830.2776298651087,17488.354006572878,14007.021142975074,True,False,False,True,False,False,False
16.3,46.0,600.0,799.0,4588.540388969551,20189.782459618524,13958.984296213206,6013.227874865156,1112.5951812297733,5052.8810145254765,22835.274850552232,1460.8011059518783,3301.702453662842,True,False,False,True,False,False,False
15.0,42.0,20.0,1386640.0,245039.1886245955,245039.1886245955,9612.898845885835,50472.40512628032,175516.2265147719,33312.18142360189,22835.274850552232,67915.33505485831,20971.01945073218,True,False,False,True,False,False,False
9.0,40.0,50.0,434.0,4588.540388969551,4160.7543918154515,9612.898845885835,3992.1576718226197,1634.490236386661,4900.2919996848605,22835.274850552232,17488.354006572878,25695.879159776683,True,False,False,False,False,False,True
11.196182331158523,36.0,300.0,2735.0,4588.540388969551,4160.7543918154515,9612.898845885835,27459.21034885634,4143.264663661581,33312.18142360189,22835.274850552232,17488.354006572878,20971.01945073218,False,False,True,True,False,False,False
11.196182331158523,40.0,100.0,6795.0,4588.540388969551,20189.782459618524,36610.85831063517,3992.1576718226197,5017.180139852057,33312.18142360189,22835.274850552232,17488.354006572878,14007.021142975074,True,False,False,True,False,False,False
11.196182331158523,40.0,30.0,1390.0,4588.540388969551,58842.60554931016,36610.85831063517,3992.1576718226197,1925.8662421473443,33312.18142360189,22835.274850552232,17488.354006572878,14007.021142975074,True,False,False,True,False,False,False
11.196182331158523,40.0,100.0,54625.0,75924.78738870472,34237.51317475728,9612.898845885835,61956.39946677791,34423.14305182504,33312.18142360189,22835.274850552232,17488.354006572878,20971.01945073218,True,False,False,True,False,False,False
11.196182331158523,36.0,100.0,26220.0,18846.710530428605,18864.235836445107,9612.898845885835,50472.40512628032,34423.14305182504,33312.18142360189,22835.274850552232,37952.85036915782,35653.09813684697,True,False,False,True,False,False,False
