case_material,band_material,case_back,bezel_material,brand,gender,movement,watch_style,case_thickness,crystal,hands,dial_markers,case_diameter,water_resistance,price_segment
7,5,28,9,30,1,0,4,0.13787119641314297,4,13,2,0.5217391304347825,0.01617475404368851,1
7,9,28,11,28,0,3,4,0.21316614420062693,4,9,4,0.6739130434782608,0.03284975821243955,1
3,9,28,4,27,2,3,2,0.07210031347962381,3,13,4,0.5652173913043479,0.00783725195931299,0
7,7,45,9,3,0,0,4,0.1347962382445141,4,13,4,0.6521739130434783,0.01617475404368851,1
7,9,28,9,19,0,0,0,0.15047021943573666,4,13,4,0.6521739130434783,0.00783725195931299,0
7,9,28,9,14,0,3,5,0.2601880877742947,3,13,4,0.8695652173913042,0.01617475404368851,0
7,9,28,8,20,0,0,4,0.15047021943573666,4,13,1,0.5869565217391304,0.03284975821243955,0
7,9,28,9,14,2,3,0,0.1426332288401254,3,11,6,0.5652173913043479,0.01617475404368851,0
1,3,26,7,20,2,0,4,0.13787119641314297,4,11,6,0.47826086956521735,0.00783725195931299,3
2,6,28,8,20,2,3,4,0.07210031347962381,4,15,2,0.391304347826087,0.004502251125562781,3
6,6,28,8,20,2,0,4,0.08620689655172414,4,0,4,0.5652173913043479,0.004502251125562781,3
3,5,39,4,27,2,0,2,0.16614420062695923,3,11,4,0.6086956521739131,0.00783725195931299,0
6,6,28,8,20,2,3,7,0.13787119641314297,3,12,4,0.7173913043478262,0.03284975821243955,0
7,9,39,9,15,2,0,0,0.10344827586206895,4,13,7,0.3695652173913044,0.004502251125562781,1
0,3,26,1,12,0,0,4,0.13787119641314297,4,11,4,0.5652173913043479,0.00783725195931299,2
1,3,28,2,1,0,0,4,0.15830721003134793,4,13,0,0.3695652173913044,0.004502251125562781,2
7,9,28,9,20,2,3,2,0.11912225705329152,3,13,4,0.45652173913043476,0.00783725195931299,0
5,9,28,8,2,2,3,2,0.07993730407523511,2,12,6,0.45652173913043476,0.004502251125562781,0
7,8,28,9,14,0,3,0,0.13787119641314297,0,4,4,0.826086956521739,0.01617475404368851,0
6,6,28,8,20,2,3,2,0.10344827586206895,3,11,4,0.49999999999999994,0.00783725195931299,0
7,9,39,9,18,0,0,4,0.13787119641314297,4,11,4,0.5869565217391304,0.01617475404368851,1
9,6,39,11,11,0,0,7,0.13787119641314297,4,0,0,0.5652173913043479,0.01617475404368851,0
7,9,28,9,20,2,3,2,0.13787119641314297,4,4,6,0.3043478260869565,0.004502251125562781,0
2,6,28,3,25,2,0,4,0.13787119641314297,4,14,7,0.41304347826086957,0.01617475404368851,3
7,5,28,9,29,0,3,0,0.08934169278996862,4,13,7,0.6521739130434783,0.00783725195931299,0
7,5,39,9,11,0,0,0,0.14420062695924762,4,11,4,0.6521739130434783,0.00783725195931299,0
6,6,28,8,21,0,0,4,0.13787119641314297,4,13,6,0.6956521739130435,0.04952476238119059,1
7,6,28,3,25,0,0,4,0.13787119641314297,4,15,4,0.6086956521739131,0.01617475404368851,3
2,6,28,8,25,2,0,4,0.13787119641314297,4,14,7,0.41304347826086957,0.01617475404368851,3
7,9,28,9,8,0,1,2,0.1269592476489028,4,10,4,0.6304347826086956,0.01617475404368851,0
7,7,28,9,6,0,0,0,0.10940438871473354,4,6,7,0.6086956521739131,0.01617475404368851,1
7,6,28,3,25,0,0,4,0.13787119641314297,4,11,6,0.6086956521739131,0.01617475404368851,2
7,9,45,9,1,0,0,4,0.1269592476489028,4,13,4,0.6304347826086956,0.00783725195931299,3
7,9,39,9,15,2,0,4,0.10344827586206895,4,11,0,0.2826086956521739,0.004502251125562781,1
7,9,39,9,20,0,0,7,0.16614420062695923,4,13,5,0.6521739130434783,0.01617475404368851,1
7,6,39,8,7,0,0,4,0.14153605015673978,4,8,4,0.6739130434782608,0.01617475404368851,1
7,6,23,8,15,0,0,2,0.1347962382445141,4,4,2,0.5652173913043479,0.004502251125562781,1
0,6,39,7,20,2,0,2,0.11990595611285265,4,1,0,0.3478260869565218,0.004502251125562781,2
6,6,28,0,25,2,0,4,0.13787119641314297,4,11,6,0.3478260869565218,0.01617475404368851,2
7,9,28,9,20,2,3,3,0.11912225705329152,3,13,4,0.5652173913043479,0.004502251125562781,0
6,7,28,8,20,0,0,1,0.13787119641314297,4,0,4,0.6521739130434783,0.04952476238119059,1
7,5,28,9,8,0,3,7,0.16614420062695923,3,9,5,0.6956521739130435,0.01617475404368851,0
5,6,28,8,2,2,3,3,0.15047021943573666,3,7,2,0.6086956521739131,0.0011672502918125731,0
8,10,28,10,20,2,3,0,0.10344827586206895,1,13,6,0.5652173913043479,0.004502251125562781,0
3,5,28,4,27,0,3,0,0.16614420062695923,3,6,6,0.7173913043478262,0.00783725195931299,0
4,6,28,5,20,0,0,4,0.1865203761755486,4,8,4,0.7391304347826086,0.01617475404368851,2
0,6,45,1,1,0,0,4,0.13787119641314297,4,12,4,0.6304347826086956,0.00783725195931299,4
6,6,28,7,25,2,0,4,0.13787119641314297,4,13,7,0.3043478260869565,0.01617475404368851,3
7,8,28,9,14,0,3,1,0.231974921630094,3,11,4,0.7391304347826086,0.04952476238119059,0
7,0,39,9,20,0,0,2,0.13949843260188088,4,11,4,0.6086956521739131,0.00783725195931299,1
7,0,39,9,20,0,0,4,0.1567398119122257,4,9,4,0.6521739130434783,0.004502251125562781,1
5,9,39,6,20,0,3,3,0.15047021943573666,3,9,4,0.6739130434782608,0.004502251125562781,0
7,3,28,9,5,0,0,7,0.14420062695924762,4,13,4,0.6304347826086956,0.004502251125562781,1
7,5,28,9,10,2,3,3,0.11912225705329152,4,12,7,0.5217391304347825,0.004502251125562781,0
7,9,23,9,15,0,0,2,0.13787119641314297,4,13,7,0.6086956521739131,0.004502251125562781,1
6,5,28,0,25,1,0,4,0.13787119641314297,4,11,4,0.5869565217391304,0.00783725195931299,2
7,3,39,9,15,0,0,7,0.1849529780564263,4,12,7,0.6521739130434783,0.004502251125562781,1
7,5,28,9,5,0,0,4,0.13787119641314297,4,13,0,0.6739130434782608,0.01617475404368851,1
7,9,28,8,5,0,0,4,0.1849529780564263,4,9,4,0.6956521739130435,0.1662497915624479,1
7,7,28,9,20,0,0,4,0.18965517241379307,4,13,0,0.7391304347826086,0.004502251125562781,1
7,9,28,8,8,2,3,2,0.05642633228840125,3,12,4,0.391304347826087,0.00783725195931299,0
7,9,39,8,3,0,0,4,0.15047021943573666,4,9,4,0.6304347826086956,0.01617475404368851,1
0,6,39,8,20,2,0,2,0.13787119641314297,4,12,2,0.45652173913043476,0.00783725195931299,2
7,6,39,9,20,0,0,4,0.16614420062695923,4,9,4,0.6739130434782608,0.01617475404368851,0
7,5,28,9,29,0,3,0,0.1269592476489028,3,0,0,0.41304347826086957,0.004502251125562781,0
7,5,28,9,20,2,3,2,0.10344827586206895,4,10,7,0.47826086956521735,0.00783725195931299,0
7,9,28,9,11,0,2,0,0.11912225705329152,4,9,0,0.6521739130434783,0.00783725195931299,0
7,9,39,9,20,0,3,0,0.12068965517241376,4,7,4,0.6521739130434783,0.00783725195931299,0
8,9,28,10,20,0,3,0,0.10344827586206895,3,12,4,0.6521739130434783,0.00783725195931299,0
7,9,39,9,9,0,0,4,0.21316614420062693,4,15,4,0.6739130434782608,0.03284975821243955,1
7,5,28,9,10,2,3,4,0.09561128526645765,4,15,2,0.49999999999999994,0.00783725195931299,0
7,7,28,1,7,2,3,4,0.13787119641314297,4,12,6,0.5217391304347825,0.004502251125562781,1
1,5,28,7,25,2,0,4,0.13787119641314297,4,11,6,0.5217391304347825,0.01617475404368851,3
7,8,28,9,20,0,3,0,0.15830721003134793,1,7,4,0.6521739130434783,0.00783725195931299,0
7,9,28,9,10,2,3,3,0.11912225705329152,4,1,7,0.5217391304347825,0.004502251125562781,0
9,3,23,11,1,0,0,4,0.1818181818181818,4,13,4,0.6521739130434783,0.015238978037123735,4
0,6,28,9,20,2,3,4,0.05956112852664577,4,12,6,0.391304347826087,0.004502251125562781,1
7,6,28,8,25,2,0,4,0.13787119641314297,4,14,2,0.5217391304347825,0.01617475404368851,2
7,6,39,9,20,0,0,0,0.15360501567398116,1,13,0,0.6304347826086956,0.01617475404368851,1
6,7,39,8,12,0,0,4,0.13787119641314297,1,9,6,0.7173913043478262,0.01617475404368851,2
7,6,28,9,10,2,3,3,0.16614420062695923,4,1,7,0.5217391304347825,0.004502251125562781,0
7,9,28,5,9,0,0,4,0.16614420062695923,4,15,4,0.6739130434782608,0.03284975821243955,1
7,5,28,9,20,0,3,0,0.13787119641314297,3,13,4,0.6086956521739131,0.004502251125562781,0
7,5,45,8,20,0,0,0,0.13787119641314297,4,0,1,0.7173913043478262,0.01617475404368851,1
7,2,28,9,15,0,0,4,0.13787119641314297,4,13,4,0.5652173913043479,0.004502251125562781,1
0,3,26,1,4,0,0,4,0.13787119641314297,4,12,7,0.6086956521739131,0.004502251125562781,2
7,8,28,9,14,0,3,0,0.19749216300940436,0,11,4,0.826086956521739,0.01617475404368851,0
1,6,28,2,20,2,3,7,0.11442006269592472,4,13,0,0.43478260869565216,0.015238978037123735,2
7,0,28,1,6,1,3,4,0.07680250783699058,4,2,6,0.3260869565217391,0.004502251125562781,1
7,9,39,8,14,0,0,7,0.16614420062695923,3,11,3,0.6086956521739131,0.03284975821243955,0
1,6,28,2,25,1,0,4,0.13787119641314297,4,13,4,0.5217391304347825,0.01617475404368851,3
6,3,28,8,20,0,2,4,0.06880877742946709,4,12,4,0.6086956521739131,0.004502251125562781,2
7,9,28,9,20,2,3,2,0.13787119641314297,3,12,6,0.2391304347826087,0.004502251125562781,0
7,10,28,9,20,2,3,3,0.13787119641314297,3,12,4,0.43478260869565216,0.004502251125562781,0
7,5,28,9,6,2,3,4,0.06583072100313478,4,2,7,0.2826086956521739,0.004502251125562781,1
3,5,28,4,27,0,3,0,0.1622257053291536,3,11,4,0.7173913043478262,0.004502251125562781,0
7,5,28,9,8,0,1,7,0.13787119641314297,4,13,5,0.7391304347826086,0.03284975821243955,0
7,7,39,9,18,0,0,1,0.1347962382445141,4,9,3,0.6521739130434783,0.04952476238119059,1
7,9,23,9,3,0,0,4,0.13787119641314297,4,13,6,0.6304347826086956,0.01617475404368851,1
7,6,28,9,14,0,3,0,0.11912225705329152,3,5,0,0.7173913043478262,0.00783725195931299,0
2,6,39,3,18,1,0,4,0.13787119641314297,4,14,4,0.5652173913043479,0.01617475404368851,2
7,6,28,8,14,0,3,7,0.13787119641314297,0,13,4,0.8695652173913042,0.01617475404368851,0
7,10,28,9,20,0,3,0,0.08777429467084638,3,0,4,0.6304347826086956,0.00783725195931299,0
7,5,28,9,20,0,0,0,0.13787119641314297,4,13,4,0.7173913043478262,0.01617475404368851,0
7,9,13,8,0,2,3,2,0.1347962382445141,1,11,2,0.6086956521739131,0.00783725195931299,0
7,9,28,8,23,0,0,4,0.1520376175548589,4,9,4,0.6521739130434783,0.04952476238119059,1
7,9,28,8,23,1,0,0,0.13636363636363633,4,9,4,0.5434782608695652,0.01617475404368851,1
5,10,28,6,20,2,3,3,0.10344827586206895,3,8,2,0.43478260869565216,0.004502251125562781,0
6,6,28,7,25,2,0,4,0.13787119641314297,4,4,2,0.41304347826086957,0.01617475404368851,3
6,6,39,8,18,0,2,4,0.13166144200626959,4,11,6,0.6086956521739131,0.004502251125562781,2
8,5,28,10,20,0,3,0,0.15047021943573666,3,12,4,0.6086956521739131,0.00783725195931299,0
7,5,39,9,20,0,0,2,0.1426332288401254,4,13,4,0.6304347826086956,0.00783725195931299,0
1,5,28,2,25,0,0,4,0.15047021943573666,4,13,7,0.6086956521739131,0.01617475404368851,4
7,6,28,3,25,0,0,4,0.13787119641314297,4,10,4,0.6304347826086956,0.01617475404368851,2
7,5,28,9,14,0,3,0,0.19749216300940436,3,11,0,0.7826086956521738,0.01617475404368851,0
7,5,23,9,11,0,0,0,0.1347962382445141,4,9,4,0.6086956521739131,0.01617475404368851,0
7,7,28,9,3,0,0,4,0.10344827586206895,4,13,4,0.5869565217391304,0.01617475404368851,1
6,6,28,8,8,0,1,7,0.14420062695924762,4,13,6,0.6956521739130435,0.01617475404368851,0
7,9,28,9,14,0,3,0,0.13787119641314297,0,13,4,0.8695652173913042,0.01617475404368851,0
0,7,39,1,20,0,0,7,0.21316614420062693,4,12,6,0.6956521739130435,0.01617475404368851,2
7,9,39,9,26,0,0,4,0.16614420062695923,4,13,4,0.5717233843569876,0.015238978037123735,1
7,9,39,8,14,0,0,1,0.2366771159874608,3,7,3,0.7608695652173911,0.04952476238119059,0
7,8,28,9,14,0,3,7,0.13787119641314297,0,4,5,0.8478260869565217,0.01617475404368851,0
7,9,28,9,8,0,1,2,0.16614420062695923,4,8,4,0.6304347826086956,0.01617475404368851,0
6,9,28,9,0,2,3,2,0.13787119641314297,3,13,6,0.6521739130434783,0.00783725195931299,0
7,8,28,9,14,0,3,0,0.1426332288401254,0,13,4,0.7173913043478262,0.00783725195931299,0
7,9,45,9,9,0,0,4,0.15047021943573666,4,15,0,0.6739130434782608,0.01617475404368851,1
7,9,28,9,18,0,0,2,0.11128526645768025,4,11,6,0.5869565217391304,0.004502251125562781,1
7,6,28,8,5,0,0,4,0.1873040752351097,4,9,4,0.6521739130434783,0.03284975821243955,1
3,5,39,4,27,0,0,2,0.15830721003134793,3,11,0,0.6086956521739131,0.00783725195931299,0
7,9,13,8,0,0,3,0,0.16614420062695923,1,9,4,0.7173913043478262,0.004502251125562781,0
1,5,26,2,1,0,2,4,0.13787119641314297,4,11,6,0.5434782608695652,0.002834750708687677,2
7,9,45,9,15,0,0,2,0.08777429467084638,4,12,7,0.5652173913043479,0.004502251125562781,0
7,6,28,8,20,0,0,1,0.13787119641314297,4,11,4,0.7391304347826086,0.04952476238119059,1
6,7,45,8,20,0,0,7,0.13787119641314297,1,0,4,0.6521739130434783,0.00783725195931299,1
7,3,39,9,5,0,0,4,0.17554858934169276,4,13,4,0.6739130434782608,0.004502251125562781,1
6,6,28,8,25,0,0,4,0.13787119641314297,4,9,4,0.6086956521739131,0.01617475404368851,2
7,5,39,8,16,0,0,0,0.13787119641314297,4,9,3,0.6521739130434783,0.01617475404368851,0
3,5,28,4,20,0,3,0,0.1347962382445141,3,9,0,0.6521739130434783,0.00783725195931299,0
5,6,28,6,2,2,3,3,0.05642633228840125,3,13,4,0.5652173913043479,0.004502251125562781,0
7,9,39,9,19,0,0,0,0.1520376175548589,3,11,4,0.6304347826086956,0.00783725195931299,0
0,0,39,1,5,0,2,4,0.20219435736677116,4,8,0,0.6521739130434783,0.01617475404368851,2
7,6,28,9,25,0,0,4,0.13787119641314297,4,13,4,0.5217391304347825,0.01617475404368851,2
7,5,39,9,17,0,0,4,0.07210031347962381,4,11,4,0.5869565217391304,0.004502251125562781,0
7,9,28,9,8,0,1,4,0.13787119641314297,4,13,4,0.6739130434782608,0.01617475404368851,0
7,9,23,9,15,2,0,4,0.05642633228840125,4,13,2,0.47826086956521735,0.004502251125562781,1
7,7,28,8,12,1,3,4,0.15047021943573666,4,9,6,0.5652173913043479,0.01617475404368851,1
7,0,39,9,6,0,0,2,0.14670846394984324,4,2,6,0.6086956521739131,0.004502251125562781,1
7,0,39,9,5,0,0,8,0.19043887147335423,4,9,0,0.6739130434782608,0.01617475404368851,1
7,9,39,9,9,0,0,4,0.16614420062695923,4,12,1,0.6739130434782608,0.03284975821243955,1
7,6,28,9,14,1,3,0,0.1269592476489028,0,12,5,0.5652173913043479,0.00783725195931299,0
7,9,39,9,29,0,0,0,0.13322884012539185,4,13,4,0.6086956521739131,0.01617475404368851,0
7,9,28,9,20,2,3,0,0.06583072100313478,4,13,7,0.3478260869565218,0.004502251125562781,0
7,6,19,9,25,2,0,4,0.13787119641314297,4,13,4,0.41304347826086957,0.01617475404368851,1
7,9,28,9,10,2,3,3,0.08777429467084638,4,1,0,0.5217391304347825,0.00783725195931299,0
7,9,39,9,24,0,0,4,0.11912225705329152,4,9,4,0.5869565217391304,0.00783725195931299,0
7,6,28,9,20,0,0,5,0.17319749216300936,3,6,0,0.5652173913043479,0.004502251125562781,0
7,9,28,7,20,2,3,4,0.13787119641314297,4,13,6,0.3478260869565218,0.004502251125562781,1
7,7,28,9,20,0,3,0,0.13787119641314297,3,6,4,0.6956521739130435,0.00783725195931299,0
7,6,19,9,25,2,0,4,0.13787119641314297,4,13,4,0.41304347826086957,0.01617475404368851,1
2,6,28,3,1,0,0,2,0.13787119641314297,4,5,6,0.5434782608695652,0.00783725195931299,3
7,9,28,9,20,0,3,0,0.15047021943573666,3,11,4,0.8695652173913042,0.01617475404368851,0
7,6,23,9,11,0,0,6,0.15047021943573666,4,9,0,0.5717233843569876,0.01617475404368851,0
7,9,28,8,20,0,0,2,0.15360501567398116,4,13,4,0.5652173913043479,0.04952476238119059,0
7,10,28,9,20,0,3,0,0.10188087774294671,4,13,4,0.3260869565217391,0.00783725195931299,1
6,6,28,8,25,0,0,4,0.13787119641314297,4,11,2,0.5217391304347825,0.01617475404368851,3
7,9,28,9,20,2,3,0,0.08777429467084638,4,13,6,0.5217391304347825,0.00783725195931299,0
7,9,45,9,20,0,0,4,0.13787119641314297,4,13,4,0.6086956521739131,0.00783725195931299,1
7,9,28,8,10,2,3,3,0.08777429467084638,4,1,2,0.5217391304347825,0.00783725195931299,0
1,5,28,8,20,0,0,4,0.11912225705329152,4,1,0,0.47826086956521735,0.00783725195931299,3
6,5,28,8,13,0,0,4,0.12852664576802506,4,4,0,0.5869565217391304,0.009504752376188095,1
7,6,28,9,25,0,0,4,0.13787119641314297,4,9,4,0.5217391304347825,0.01617475404368851,1
7,3,28,9,15,2,3,2,0.032915360501567396,4,13,2,0.3695652173913044,0.004502251125562781,1
7,5,28,9,27,0,3,2,0.10344827586206895,3,1,4,0.6086956521739131,0.00783725195931299,0
1,6,26,7,6,2,0,4,0.14670846394984324,4,2,6,0.6086956521739131,0.004502251125562781,3
7,4,28,9,10,2,3,4,0.11128526645768025,4,15,7,0.3260869565217391,0.004502251125562781,0
6,6,28,8,20,2,3,7,0.21003134796238243,3,12,4,0.7173913043478262,0.03284975821243955,0
7,6,39,9,20,2,0,4,0.11128526645768025,4,11,6,0.47826086956521735,0.00783725195931299,1
6,3,26,7,20,2,2,4,0.10188087774294671,4,11,4,0.5217391304347825,0.004502251125562781,3
7,5,28,9,20,0,3,2,0.13787119641314297,1,11,4,0.6956521739130435,0.004502251125562781,0
7,6,28,8,18,2,3,4,0.13787119641314297,4,11,7,0.5869565217391304,0.004502251125562781,1
3,5,28,8,27,0,3,7,0.13087774294670845,3,8,0,0.6521739130434783,0.01617475404368851,0
7,3,45,9,5,0,0,7,0.17554858934169276,4,13,4,0.6521739130434783,0.01617475404368851,1
7,9,28,9,5,0,0,4,0.2210031347962382,4,9,4,0.8043478260869565,0.01617475404368851,1
0,6,26,1,20,0,0,4,0.15893416927899684,4,12,4,0.6521739130434783,0.00783725195931299,2
5,9,39,6,20,0,3,3,0.15047021943573666,3,9,4,0.6739130434782608,0.004502251125562781,0
0,5,39,7,12,0,0,4,0.1818181818181818,4,12,0,0.6304347826086956,0.01617475404368851,2
7,7,28,9,20,0,0,1,0.14576802507836986,4,13,4,0.6521739130434783,0.04952476238119059,1
7,9,28,9,8,0,3,2,0.08777429467084638,3,7,0,0.5652173913043479,0.00783725195931299,0
7,9,28,7,20,2,3,2,0.0725705329153605,4,4,6,0.2608695652173913,0.00783725195931299,1
7,8,28,8,14,0,3,0,0.22335423197492157,3,9,3,0.8478260869565217,0.01617475404368851,0
7,10,28,9,14,2,3,0,0.10344827586206895,0,12,4,0.5652173913043479,0.01617475404368851,0
7,5,28,9,20,0,0,4,0.21316614420062693,4,5,6,0.7391304347826086,0.01617475404368851,1
7,9,28,8,16,2,3,0,0.13787119641314297,3,12,4,0.43478260869565216,0.00783725195931299,0
7,9,39,9,9,0,0,4,0.1818181818181818,4,13,1,0.7391304347826086,0.03284975821243955,1
7,6,28,9,8,0,1,7,0.1426332288401254,3,9,6,0.6956521739130435,0.03284975821243955,0
4,5,28,5,3,0,0,4,0.11598746081504702,4,11,4,0.6521739130434783,0.01617475404368851,1
7,6,28,1,15,0,0,1,0.13787119641314297,4,12,6,0.6739130434782608,0.04952476238119059,1
7,5,28,9,13,0,0,4,0.13787119641314297,4,13,0,0.6086956521739131,0.01617475404368851,1
7,3,39,9,15,2,0,2,0.12382445141065831,4,1,2,0.3043478260869565,0.004502251125562781,1
7,9,23,9,20,0,0,0,0.19592476489028213,4,5,0,0.5717233843569876,0.00783725195931299,1
7,5,28,9,21,0,2,2,0.13787119641314297,4,5,5,0.7173913043478262,0.01617475404368851,1
7,6,28,7,25,2,0,4,0.13787119641314297,4,13,2,0.5217391304347825,0.01617475404368851,2
7,10,28,9,16,2,3,2,0.05642633228840125,4,12,2,0.3478260869565218,0.00783725195931299,0
7,9,39,9,6,0,0,4,0.14670846394984324,4,2,6,0.6086956521739131,0.004502251125562781,1
7,9,39,8,9,0,0,4,0.16614420062695923,4,10,4,0.6739130434782608,0.03284975821243955,0
0,6,45,1,20,0,0,7,0.17084639498432602,4,12,5,0.5869565217391304,0.004502251125562781,2
7,7,28,8,28,0,0,4,0.13787119641314297,4,9,3,0.6739130434782608,0.04952476238119059,1
6,6,39,5,18,0,0,4,0.13787119641314297,4,6,4,0.6521739130434783,0.00783725195931299,3
6,6,13,8,25,1,0,4,0.13787119641314297,4,11,4,0.5217391304347825,0.01617475404368851,2
7,9,28,9,20,2,3,2,0.11912225705329152,4,13,6,0.3260869565217391,0.00783725195931299,0
7,9,23,9,15,2,0,2,0.10344827586206895,4,4,2,0.2826086956521739,0.004502251125562781,1
