URL,Price,BOX_TYPE,CASE_DIAMETER,CASE_THICKNESS,CASE_MATERIAL,CASE_SHAPE,CASE_BACK,BAND_MATERIAL,BAND_TYPE,BAND_COLOR,CLASP,DIAL_COLOR,TYPE,CRYSTAL,HANDS,DIAL_MARKERS,SECOND_MARKERS,BEZEL,BEZEL_COLOR,BEZEL_MATERIAL,BRAND,COLLECTION_NAME,GENDER,MODEL,WATCH_LABEL,MOVEMENT,ENGINE,WATER_RESISTANCE,CALENDAR,FUNCTIONS,WATCH_FEATURES,WATCH_STYLE,WARRANTY,JOMASHOP_SKU,DEPARTMENT,CATEGORY,CROWN
https://www.jomashop.com/preowned-1-panerai-luminor-marina-black-dial-mens-watch-pam-00111.html,"$4,550.00",,,,,,,,,,,,,,,,,,,,Panerai,Luminor Marina,Mens,PAM 00111,Swiss Made,Hand Wind,Panerai Calibre OP XI,,,,,,,,,,
https://www.jomashop.com/movado-heritage-quartz-blue-dial-mens-watch-3650142.html,$644.99,Original Box,39 mm,,Stainless Steel,Round,Solid,Stainless Steel,Bracelet,Silver-tone,Deployment,Blue,Analog,Scratch Resistant Sapphire,Silver-tone,Index,Minute Markers around the outer rim,Fixed,Silver-tone,Stainless Steel,Movado,Heritage,Mens,3650142,Swiss Made,Quartz,,50 meters / 165 feet,Date display at the 3 o'clock position,"Date, Hour, Minute, Second","Analog, Stainless Steel",Casual,2 Year Jomashop Warranty,MV3650142,Watches,Watches,Pull / Push
https://www.jomashop.com/preowned-1-maurice-lacroix-masterpiece-reveil-globe-black-dial-mens-watch-mp6398-ss001-330-mp6398.html,"$2,955.00",,,,,,,,,,,,,,,,,,,,Maurice Lacroix,Masterpiece Reveil Globe,Mens,MP6398-SS001-330,Swiss Made,Automatic,,,,,,,,,,,
https://www.jomashop.com/rolex-sky-dweller-gmt-automatic-white-dial-unisex-watch-336933wso.html,"$24,000.00",Original Box,42 mm,,Stainless Steel,Round,Solid,Stainless Steel and 18kt Yellow Gold Oyster,Bracelet,Two-tone (Silver-tone and Yellow Gold-tone),,White,Analog,Scratch Resistant Sapphire,Yellow Gold-tone,Index,Minute Markers around the outer rim,Bi-directional Rotating Ring Command,Yellow Gold-tone,18kt Yellow Gold,Rolex,Sky Dweller,Mens,336933-0005,Swiss Made,Automatic,Rolex Calibre 9002,100 meters / 330 feet,Date display at the 3 o'clock position,"Annual Calendar, Month, Date, GMT, Second Time Zone, Hour, Minute, Second, Chronometer",GMT,Luxury,2 Year jomashop warranty,RLX336933WSO,Watches,Watches,Screw Down
https://www.jomashop.com/panerai-submersible-black-dial-unisex-watch-pam02070.html,"$25,950.00",Original Box,44 mm,,18kt Rose Gold,Round,Solid,Rubber,Strap,Black,,Black,Analog,Scratch Resistant Sapphire,Rose Gold-tone,Index,,Uni-directional Rotating,Black,Goldtech with Carbotech,Panerai,Submersible,Mens,PAM02070,Swiss Made,Automatic,Panerai Calibre P.900,300 meters / 1000 feet,Date display at the 3 o'clock position,"Date, Hour, Minute, Small Second","Analog, Gold, Rubber",Dive,2 Year Jomashop Warranty,PAM02070,Watches,Watches,Screw Down
https://www.jomashop.com/locman-watch-lo-240bk2bk.html,$99.99,Original Box,34 mm,,Stainless Steel,Rectangle,Solid,Leather,Strap,Black,Tang,Black,Analog,Scratch Resistant Sapphire,Luminous,Arabic Numeral,Minute Markers around the outer rim,Fixed,,Stainless Steel,Locman,Stealth R,Mens,240BK2BK,Italy,Quartz,,50 meters / 165 feet,Date display at the 3 o'clock position,"Date, Hour, Minute, Second","Analog, Leather, Stainless Steel",Casual,2 Year Jomashop Warranty,LOC240BK2BK,Watches,Watches,Pull / Push
https://www.jomashop.com/bell-and-ross-br-05-chrono-chronograph-automatic-blue-dial-mens-watch-br05c-blu-st-sst.html,"$5,250.00",Original Box,42 mm,,Stainless Steel,Square,Transparent,Stainless Steel,Bracelet,Silver-tone,Folding,Blue,Analog,Scratch Resistant Sapphire,Silver-tone,Index-Arabic Numeral,Arabic Numeral Marker appears at the 6 and 12 o'clock positions. Arabic Numeral Minute Markers (at 5 minute intervals),Fixed,Silver-tone,Stainless Steel,Bell And Ross,Br 05 Chrono,Mens,BR05C-BLU-ST/SST,Swiss Made,Automatic,Bell and Ross Calibre BR-CAL.301,100 meters / 330 feet,Date display between 4 and 5 o'clock position,"Chronograph, Date, Hour, Minute, Second","Analog, Stainless Steel, Chronograph",Luxury,,BLRBR05C-BLU-ST-SST,Watches,Watches,Screw Down
https://www.jomashop.com/stuhrling-original-aquadiver-blue-dial-mens-watch-883hl-06.html,$325.00,Original Box,42 mm,16 mm,Stainless Steel,Round,Transparent,Leather,Strap,Black,Deployment with Push Button Release,Blue,Analog,Scratch Resistant Mineral,Silver-tone,Index,Minute Markers around the outer rim,Uni-directional Rotating,Black,Stainless Steel,Stuhrling Original,Aquadiver,Mens,M17182,,Automatic,,200 meters / 660 feet,Date display at the 3 o'clock position,"Date, Hour, Minute, Second","Analog, Leather, Stainless Steel",Dive,With Manufacturers Guarantee,ST-O883HL06,Watches,Watches,Screw Down
https://www.jomashop.com/alexander-alexander-2-gmt-silver-tone-dial-mens-watch-a171a-02.html,$610.00,Original Box,42 mm,9 mm,Stainless Steel,Round,Solid,Genuine Leather,Strap,Black,Tang,Silver-tone,Analog,Scratch Resistant Sapphire,Rose Gold-tone,Roman Numeral & Index,Minute Markers around the outer rim,Fixed,Rose Gold-tone,Stainless Steel,Alexander,Alexander 2,Mens,A171A-02,Swiss Made,Quartz,Ronda Caliber 515.24H,50 meters / 165 feet,Date display at the 3 o'clock position,"Date, GMT, Second Time Zone, Hour, Minute, Second","Analog, GMT, Gold, Leather, Stainless Steel, Time Zone",Dress,With Manufacturers Guarantee,Y-A32WL,Watches,Watches,Pull / Push
https://www.jomashop.com/rolex-watch-228238cdp.html,"$54,500.00",Original Box,40 mm,,18kt Yellow Gold,Round,Solid,Gold Rolex President,Bracelet,18kt Yellow,Concealed Crown,Champagne,Analog,Scratch Resistant Sapphire,Yellow Gold-tone,Diamond,Minute Markers around the outer rim,Fixed Fluted,,18kt Yellow Gold,Rolex,Day-Date 40,Mens,M228238-0005,Swiss Made,Automatic,Rolex Calibre 3255,100 meters / 330 feet,Date display at 3 o'clock; Day Display at 12 o'clock.,"Date, Day, Hour, Minute, Second, Chronometer","Analog, Chronometer, Gold, Diamond",Luxury,2 Year Jomashop Warranty,RLX228238CDP,Watches,Watches,Screw Down
